article_id;id_institucion;id_version;additionaltype;nombre;nombre_oficial;url;descripcion;direccion;email;telefono;imagen;ubicacion;logo;autoridad;vision;mision;publicservantlist;version;structureid;tipoinstitucion;latitud;longitud;abreviatura
14215;14217;20821;http://www.sfp.gov.py;Secretaría de la Función Pública;Secretaría de la Función Pública (SFP);http://www.sfp.gov.py;"La Secretaría de la Función Pública (SFP) fue creada por la Ley 1626 en el año 2000, tiene rango ministerial y dependencia directa de la Presidencia de la República. Dicha ley define a la institución como el organismo central normativo para la función pública y el desarrollo institucional de las entidades estatales. Entre sus principales atribuciones está la de formular la política de gestión y desarrollo de las personas que trabajan en el sector público. Las áreas de Gestión y Desarrollo de las Personas (o Recursos Humanos) u otras equivalentes de los organismos y entidades del Estado, son las unidades operativas descentralizadas.";Constitución esq. 25 de Mayo;sfp@sfp.gov.py;(021) 451 925 / 492 109;"";Asunción - Paraguay;"";Humberto Peralta Beaufort;"Una institución transparente, cercana a la gente, protagonista del cambio cultural en la gestión pública, garante de trabajadores y trabajadoras del Estado con ética e idoneidad, capaces de brindar servicios públicos eficaces y eficientes, con calidad y calidez humana.";"Formular y garantizar la implementación de políticas para la calidad de la gestión pública y el desarrollo de las personas que trabajan en el Estado, orientadas a su profesionalización para el servicio a la ciudadanía.";Nómina de Funcionarios;1.2;13527;2;-25.289349;-57.623869;
23246;23248;23329;Secretaria de Prevención de Lavado de Dinero (SEPRELAD);Secretaria de Prevención de Lavado de Dinero (SEPRELAD);Secretaria de Prevención de Lavado de Dinero;http://www.seprelad.gov.py/;"La SEPRELAD, tiene como objetivo principal, mediante acciones y procedimientos concretos, cambiar la postura estratégica a los efectos de modificar, favorablemente, el escenario futuro cercano y así poder ejercer el rol que le corresponde conforme a sus obligaciones y facultades establecidas en la Ley 1015/97 ""Que Previene y Reprime los Actos Ilícitos destinados a la Legitimación del Dinero o Bienes"" y determinar además, con precisión las necesidades de cambios, estructurales, legales, administrativas, entre otros.";Federación Rusa y Cabo 1° Marecos;seprelad@seprelad.gov.py;"Tel: +595 21 600435
Fax: +595 21 600435 (int. 6144 / 6121)";"";Asunción - Paraguay;"";Oscar Boidanich;Ser referente nacional e internacional por la aplicación efectiva y eficaz de los mecanismos establecidos para la prevención del lavado de dinero y financiamiento del terrorismo.;Reducir el riesgo de exposición al lavado y al financiamiento del terrorismo del sector financiero y otros sectores de la economía nacional.;Nómina de Funcionarios;1.4;13527;2;-25.277381;-57.577825;
14019;14021;39593;http://www.senad.gov.py/;Secretaría Nacional Antidrogas;Secretaría Nacional Antidrogas;http://www.senad.gov.py/;"Es la institución estatal encargada por mandato de la Constitución Nacional de reprimir la producción y tráfico ilícitos de las sustancias estupefacientes y demás drogas peligrosas, así como los actos destinados a la legitimación del dinero proveniente de dichas actividades e igualmente combatir el consumo ilícito de dichas drogas.";Avda. Fernando de la Mora 2998 c/ Avda. De la Victoria;senadcomunicacion@gmail.com;(021) 554 - 585 / 6;"";Asunción - Paraguay;"";Luis Alberto Rojas;"El respeto de la dignidad humana como valor fundamental, la libertad y seguridad de la República y la voluntad de la cooperación internacional se constituyen en la visión política que fundamenta esta lucha; ya que la compleja problemática de las drogas conduce a la degradación de la persona humana y se ha constituido en amenaza común para todos los países del mundo, por lo que el Paraguay, sustentando el principio de la ""responsabilidad compartida"", asume el compromiso que le corresponde en la solución de este problema.";"Es la institución estatal encargada por mandato de la Constitución Nacional de reprimir la producción y tráfico ilícitos de las sustancias estupefacientes y demás drogas peligrosas, así como los actos destinados a la legitimación del dinero proveniente de dichas actividades e igualmente combatir el consumo ilícito de dichas drogas.";Sin datos.;1.7;13527;2;-25.334101;-57.590731;
14001;14003;73951;http://www.senatur.gov.py/;Secretaría Nacional de Turismo;Secretaría Nacional de Turismo;http://www.senatur.gov.py/;"La SENATUR es la Institución rectora de las políticas turísticas del Paraguay, regida por la Ley 2828/05 cuyo objeto es regular la orientación, facilitación, el fomento, la coordinación y control de las actividades turísticas del país, para el desarrollo socio-económico como factor fundamental, en total concordancia con el medio ambiente y la cultura.";"SENATUR, Salón Turista Róga 
	Palma 468 c/ Alberdi
	Tel.: (021)494.110
	Horario de Atención: lunes a domingos 07:00 a 19:00 hs.
	http://www.paraguay.travel

	 

	SENATUR, Ciudad de Areguá

	Calle La Candelaria 515

	Tel: (0291)433.500

	 

	SENATUR, Ciudad de Luque
	Aeropuerto Internacional Silvio Pettirossi
	Tel: (021)645.600 Int: 2349
	Horario de Atención: lunes a domingos 10:00 a 18:00 hs.
	
	SENATUR, Ciudad del Este
	Oficina 1: Mcal. Estigarribia y Adrián Jara 
	(al lado del cuerpo de Bomberos)
	Tel: (061)511.626/508.810/508.811

	Oficina 2: Cabecera del Puente Internacional de La Amistad.
	Atención las 24 horas.
	
	SENATUR, Ciudad de Encarnación 
	Ruta Internacional, Cabecera del Puente 
	San Roque González de Santa Cruz
	Cel.: (0985)794.595
	
	Oficina 1: Cámara Paraguaya de Turismo de las Misiones Jesuíticas

	Mcal. Estigarribia 1015 c/ Curupayty

	Horario de atención: Lunes a Viernes 07:30 A 18:00 HS.

	Tel.: (071)205.021";infosenatur@senatur.gov.py;"(595 21) 494.110/441.530
	(595 21) 491.230";"";Asunción - Paraguay;"";Marcela Bacigalupo;"Institución moderna y dinámica, que promueve el desarrollo integral de la industria turística, convirtiéndola en una de las más importantes impulsoras de la economía nacional.";"Ejecutar la Política Nacional en materia de turismo, promoviendo, difundiendo y desarrollando el turismo interno y receptivo";Nómina de Funcionarios;1.8;13527;2;-25.281205;-57.636297;
14249;14251;86416;http://www.repatriados.gov.py/;Secretaría de Desarrollo para Repatriados y Refugiados Connacionales;Secretaría de Desarrollo para Repatriados y Refugiados Connacionales (SDRRC);http://www.repatriados.gov.py/;"La situación política de nuestro país iniciada en febrero de 1989, sumada a otros temas como el decaimiento económico y endurecimiento de la aplicación de leyes migratorias en los países tradicionalmente receptores, han inducido al retorno significativo de nuestros connacionales y sus familias conformada en el extranjero; esta situación motivó una iniciativa de paraguayos retornados del exilio de diferentes extracciones políticas, que fue tomada por un grupo de legisladores, que vivieron en el exterior, para proyectar la creación del Consejo Nacional de Repatriación de Connacionales (CNRC – Ley Nº 40/89), en el seno del Parlamento, a partir del cual los organismos oficiales y la opinión pública se han ido creando conciencia de la necesidad de definir políticas y estrategias para apoyar un retorno ordenado e institucionalizado de los compatriotas residentes en el exterior, así como establecer un sistema de acompañamiento y promoción socio-económico acorde a la realidad que hoy vive el país.";25 de Mayo 1091 c/ Brasil;contactos@repatriados.gov.py;"+ 595 21 226858

	+ 595 21 226866

	+ 595 21 226880 

	+ 595 21 226797";"";Asunción - Paraguay;"";Luis Alberto Bogado Poisson;"La SDRREC, es la institución estatal que brinda atención a quienes retornan a la patria, implementando una gestión, comprometida con el proceso de la repatriación, que proporciona información oportuna y veraz sobre la realidad de la migración externa y cuenta con recursos humanos formados integralmente para el desempeño eficiente de sus tareas.

	La labor eficaz de la institución ha logrado involucrar en su accionar a connacionales residentes en el exterior que individualmente o a través de las organizaciones que integran, mantienen vivo su interés en el país, a la vez que, ha incorporado la temática del retorno, entre las prioridades nacionales asi como en la agenda de trabajo y discusión de la región.";"La SDRREC, desarrolla acciones que promueven la reinserción dignificante de connacionales y su inclusión en el proceso de desarrollo nacional, dando atención especial a los casos de retorno forzoso en el marco del respeto a los derechos humanos, contribuyendo al reencuentro de las personas repatriadas con su entorno familiar y social.

	Asumiendo al Paraguay como una nación históricamente migrante, apoya iniciativas de diálogo tendientes a la continuidad y fortalecimiento del vínculo con el país.";Ver Nómina de Funcionarios;1.4;13527;2;-25.288503;-57.625105;
14307;14309;86484;http://www.sen.gov.py/;Secretaría de Emergencia Nacional;Secretaría de Emergencia Nacional (SEN);http://www.sen.gov.py/;"La Secretaría de Emergencia Nacional (SEN) es una institución creada por la Ley Nº 2615/05 y depende directamente de la Presidencia de la República del Paraguay.
	La SEN es el organismo rector y conductor del Sistema Nacional de Emergencia (SISNE), encargado de la organización de la población, coordinación, planeamiento y control de las actividades de Defensa y Protección Civil.
	La SEN incorpora como elementos de trabajo la elaboración de Mapas de Riesgo, Alerta temprana y la Gestión Integral de Riesgos.
	En todas sus tareas de ayuda humanitaria incluye componentes de sostenibilidad apuntando a mejorar la calidad de vida en las diferentes comunidades del país y a disminuir los efectos provocados por los desastres fortaleciendo la capacidad de respuesta a nivel comunitario.";Fulgencio R. Moreno c/ Parapiti.;secretaria.general@sen.gov.py;(595 21) 440-997   Fax:(595 21) 440-998;"";Asunción - Paraguay;"";Joaquín Roa;"La visión de la SEN es ser una institución capaz en la identificación de vulnerabilidades,  de excelencia en la planificación, desarrollo y aplicación de medidas de prevención, mitigación, respuesta  y rehabilitación desde un sistema reactivo a uno preventivo, que  inserte el concepto regional e internacional de la Protección Civil  en la cotidianidad socio cultural de la población. Generando la autoprotección, corresponsabilidad y la participación ciudadana.";"Es misión de la SEN garantizar la protección de las personas, las comunidades, sus bienes y su medio ambiente ante situaciones que impliquen amenaza, vulnerabilidad o riesgo, mediante acciones de prevención y mitigación; y contrarrestar los efectos de las emergencias y catástrofes en estrecha coordinación con las instituciones y organizaciones integrantes del sistema nacional de protección civil, organismo regionales e internacionales.";Sin datos;1.9;13527;2;-25.289885;-57.629595;
14713;14715;86532;http://www.sicom.gov.py;Secretaría de Información y Comunicación;Secretaría de Información y Comunicacion (SICOM);http://www.sicom.gov.py;"La SICOM es el organismo rector de las políticas y actividades del Gobierno Nacional en el sector de la Información y Comunicación, con énfasis en Comunicación para el Desarrollo. Fue creada por Decreto 171 del 27 de agosto de 2008 y tiene como misión desplegar estrategias que vinculen al Estado y a la Comunidad en la construcción de una comunicación que promueva el diálogo social y el desarrollo, a partir de una gestión participativa y transparente.";Ayolas 451 entre Oliva y Estrella. Edif. Capital;dgce.sicom@gmail.com;(021) 449113;"";Asunción- Paraguay;"";Fabrizio Caligaris;"Son funciones de la SICOM:

	• Desarrollar y dirigir las políticas comunicacionales del Gobierno.

	• Facilitar el acceso a la información pública y su difusión.

	• Desarrollar, en el sector de la información y comunicación para el desarrollo social, procesos de planificación, coordinación, evaluación y asesoramiento a las oficinas y agencias informativas de entes públicos y a la parte paraguaya de las entidades binacionales, e implementar marcos organizativos y metodológicos para su mejor funcionamiento.

	• Desarrollar espacios de formación y capacitación de comunicadores, técnicos y productores en general de medios comunitarios, estatales y comerciales.

	• Implementar estrategias comunicacionales comunitarias que promuevan la cultura nacional, el desarrollo y la educación abriendo canales de participación social y acelerando procesos de inclusión de sectores marginados por los medios de comunicación de masa.

	• Dirigir las relaciones públicas y operativas del Gobierno Nacional con los medios de comunicación privados,  las organizaciones sin fines de lucro no pertenecientes a la esfera gubernamental y las organizaciones internacionales estatales y privadas que operen en el ámbito de la comunicación y la cultura.

	• Facilitar al Presidente de la República y su entorno, información responsable y eficaz para generar toma de posiciones públicas o decisiones gubernativas.

	Proyectar la creación de otros medios y espacios necesarios para extender el acceso a la información pública, la educación y la inclusión de la población.

	• Divulgar, a nivel nacional y mundial, acciones gubernativas y realidades del Paraguay.

	• Velar por la libertad de expresión, el derecho a la información y el acceso a las tecnologías y al conocimiento.";"Los fines prioritarios de la política de comunicación gubernamental son:

	•    Democratizar la comunicación.

	•    Fortalecer la cultura nacional y la identidad paraguaya y latinoamericana.

	•    Ampliar el alcance y la calidad de la educación.

	•    Fortalecer las organizaciones de base y la participación ciudadana

	•    Apoyar el desarrollo integral del país.";"http://www.sicom.gov.py/index.php?option=com_content&amp;view=article&amp;id=306:lista-de-salarios-funcionarios-nombrados&amp;catid=34:institucional&amp;Itemid=28";1.4;13527;2;-25.280470;-57.639986;
14833;14835;86785;http://www.senac.gov.py/;Secretaría Nacional Anticorrupción (SENAC);Secretaría Nacional Anticorrupción (SENAC);http://www.senac.gov.py/;"La Secretaria Nacional Anticorrupción, identificada con las siglas (SENAC) , se constituye en la instancia rectora, normativa y estratégica en el diseño , ejecución, implementación, monitoreo y evaluación de las políticas  públicas del Gobierno Nacional  en materia en materia de anticorrupción, integridad y transparencia.";Ayolas 451 e/Estrella y Oliva – Edificio Capital 5to piso;senacpy@gmail.com;021 -450 001 / 450 002;"";Asunción - Paraguay;"";Abog. Maria Soledad Quiñonez Astigarraga;"Coordinar con los diferentes organismos del Estado, las instancias internas institucionales especializadas en temas relacionados a la lucha contra la corrupción, y la ciudadanía en general.";Liderar la aplicación de políticas de transparencia de gestión y lucha contra la corrupción en todas las instituciones del Poder Ejecutivo.;NO DISPONIBLE;1.4;13527;2;-25.280456;-57.639991;
14843;14845;90773;http://www.senadis.gov.py/;Secretaría Nacional por los Derechos Humanos de las Pesonas con Discapacidad (SENADIS);Secretaría Nacional por los Derechos Humanos de las Pesonas con Discapacidad (SENADIS);http://www.senadis.gov.py/;"La Secretaría Nacional por los Derechos de las Personas con Discapacidad (SENADIS), dependiente  de la Presidencia de la República del Paraguay, es la institución del Estado que tiene la función de formular, impulsar y vigilar el cumplimiento de Políticas Nacionales relacionadas con la discapacidad, acordes a las obligaciones derivadas de los tratados internacionales de Derechos Humanos, con el propósito de construir una sociedad inclusiva, que logre la igualdad de oportunidades, participación,  accesibilidad y el ejercicio pleno de los derechos  de las Personas con Discapacidad.";Yeruti  y Jacaranda – Fernando de la Mora Zona Norte – Barrio IPVU;gabinetesenadis@gmail.com;"Gabinete: (59521) 670-665
	Planificación: (59521) 670-093
	Central: (59521) 670-593   (59521) 670-569";"";Fernando de la Mora - Paraguay;"";Lic. Rocío Soledad Florentín Gómez;"Ser una institución reconocida en el ámbito nacional e internacional por los importantes avances en el logro de la construcción de una sociedad inclusiva, solidaria basada en el reconocimiento y goce pleno de los derechos humanos, que contribuye a superar la inequidad, la inclusión, la discriminación y la pobreza de las PcD, mediante la efectiva defensa, promoción y protección de sus derechos.";"Garantizar la igualdad de oportunidades, la inclusión social, el respeto de los derechos, la participación en el diálogo social la accesibilidad de las PcD, con miras a mejorar su calidad de vida y en consecuencia la de sus familias y en el entorno, adoptando gradualmente las medidas necesarias para el efectivo complacimiento de las políticas públicas basadas en la Constitución Nacional y en la Conversión por los derechos de las PcD.";SIn Datos;1.9;13527;2;-25.313243;-57.540168 ;
14703;14705;102034;http://www.cultura.gov.py;Secretaría Nacional de Cultura;Secretaría Nacional de Cultura (SNC);http://www.cultura.gov.py;"La Secretaría Nacional de Cultura, creada por la Ley 3051/06 Nacional de Cultura, es el ente regulador de las políticas culturales de la República del Paraguay.";Sede central EEUU 284 esq. Mcal. Estigarribia;contacto@cultura.gov.py;(021)442515/6  (021) 492548;"";Asunción - Paraguay;"";Arq. Mabel Causarano;"Su visión es ser una institución confiable, transparente y pluralista, consagrada a la protección de la riqueza y la diversidad cultural, a la promoción y defensa de las diferentes manifestaciones artísticas y culturales, reforzando la identidad nacional en una sociedad más justa, cohesionada e integradora.";"Su misión es promover las condiciones necesarias para el ejercicio de los derechos culturales por parte de ciudadanos y colectividades, a través de la incorporación de la dimensión cultural en las diferentes políticas públicas del Estado, la descentralización de la gestión cultural y la promoción de la participación ciudadana.";"http://www.cultura.gov.py/lista-de-nomina-de-funcionarios-de-la-snc/?preview=true&amp;preview_id=18470";1.5;13527;2;-25.286979;-57.626123;
