articleId,resourcePrimKey,urlTitle,id_,additionalType,name,LegalName,url,description,address,email,telephone,image,location,logo,authority,vision,mission,publicServantList,version,structureId
46356,46358,credito-agricola-de-habilitacion-cah-,46751,Crédito Agrícola de Habilitación (CAH),Crédito Agrícola de Habilitación (CAH),Crédito Agrícola de Habilitación,http://www.cah.gov.py/,"Es un ente autárquico con personería jurídica, patrimonio, contabilidad y administración propios, instituida el 21 de diciembre de 1943 y regida por Carta Orgánica Ley N° 551/75.",Carios 362 casi William Richardson,info@cah.gov.py,+595215690100,,Asunción - Paraguay,,Amanda León,"Ser una institución referente en micro finanzas que ofrece servicios financieros integrales, innovadores y adecuados a las necesidades de la agricultura familiar campesina y de otros microempresarios especialmente rurales, que impulsen la economía familiar","Brindar servicios financieros, técnicos y de organización al sector productivo preferentemente rural, buscando mejorar el ingreso, la capitalización de las unidades productivas y el acceso a otros servicios del mercado.",http://www.cah.gov.py/sites/default/files/documents/files/nomina.pdf,1.3,13527
50398,50400,instituto-nacional-de-tecnologia-normalizacion-y-metrologia-intn-,50409,"Instituto Nacional de Tecnología, Normalización y Metrología (INTN)","Instituto Nacional de Tecnología, Normalización y Metrología","Instituto Nacional de Tecnología, Normalización y Metrología",http://www.intn.gov.py/,"Somos una Entidad autárquica y descentralizada de investigación y asistencia técnica en el campo de las actividades científico-tecnológicas, con personería jurídica propia y jurisdicción en todo el territorio paraguayo.",Avda. Artigas 3973 e/ General Roa,intn@intn.gov.py,+59521 290 160 / 290 266,,Asunción - Paraguay,,Ever Cabrera,"Ser una institución reconocida nacional e internacionalmente por la calidad e innovación de sus servicios en el campo científico, técnico y tecnológico.","Servir a la sociedad mediante la asistencia técnica, normalización, certificación, metrología, investigación científica e innovación con un enfoque de responsabilidad social para el desarrollo nacional.","http://www.intn.gov.py/intn/sites/default/files/paginas_archivos/Personal%20Nombrado.pdf

	http://www.intn.gov.py/intn/sites/default/files/paginas_archivos/Personal%20Contratado_1.pdf",1.2,13527
46707,46709,direccion-nacional-de-aduanas-dna-,56088,Dirección Nacional de Aduanas (DNA),Dirección Nacional de Aduanas,Dirección Nacional des (DNA),http://www.aduana.gov.py/,"La Dirección Nacional de Aduanas es la Institución encargada de aplicar la legislación aduanera, recaudar los tributos a la importación y a la exportación, fiscalizar el tráfico de mercaderías por las fronteras y aeropuertos del país, ejercer sus atribuciones en zona primaria y realizar las tareas de represión del contrabando en zona secundaria (Art. 1º de la Ley 2422/2004 – Código Aduanero).",El Paraguayo Independiente y Colón,car@aduana.gov.py,+59521 4162100,,Asunción - Paraguay,,Nelson Daniel Valiente Saucedo,"Ser una institución líder, reconocida internacionalmente por su modelo de gestión, sustentado en infraestructura, tecnología de vanguardia, capital humano calificado, motivado y confiable.","Somos una institución autónoma facilitadora del comercio internacional, responsable de una eficiente recaudación de los tributos y fiscalización del tráfico de mercadería.",http://www.aduana.gov.py/1492-1-nomina-de-funcionarios.html,1.5,13527
63352,63354,instituto-nacional-de-salud-ins-,63387,Instituto Nacional de Salud (INS),Instituto Nacional de Salud,Instituto Nacional de Salud,http://www.ins.gov.py/,"El Instituto Nacional de Salud, es la institución que ejerce el liderazgo técnico para fortalecer el ejercicio de rectoría del Ministerio de Salud Pública y Bienes­tar Social en el Sector Salud, contribuyendo en la formulación, evaluación e implementación de políticas, en las áreas de formación y capacitación de re­cursos humanos en salud pública, investigación e información científica en salud.",Avda. Santísima Trinidad y Pasaje Francia,ins@ins.gov.py,+59521 296210,,Asunción - Paraguay,,Angilberto Paredes,"El INS busca lograr la eficiencia en la conducción, liderazgo, estructura y funciones promoviendo cambios en la cultura institucional, mediante un proceso de trabajo transformador que le facilite cumplir con la MISION asignada en el marco de la Rectoría del MSP y BS.","Contribuir, con la formación y capacitación de los recursos humanos del sector salud, la producción y la administración del conocimiento, al fortalecimiento del ejercicio de la rectoría sectorial, la ampliación de la cobertura sanitaria, la calidad de la atención y la participación social; dentro del marco de la equidad y el desarrollo humano sostenible.",SIN DATOS,1.2,13527
173010,173012,procuraduria-general-de-la-republica-pgr-,173042,Procuraduría General de la República,Procuraduría General de la República,Procuraduría General de la República,http://www.pgr.gov.py/,"La Procuraduría General de la República es la Institución creada por la Constitución Nacional del año 1992, para defender los intereses patrimoniales del Estado Paraguayo.",Cerro Corá 2249 e/ 22 de Setiembre y Vice Pte Sánchez.,info@pgr.gov.py,+ 595 21 215 034/ 7,,Asunción - Paraguay,,Roberto Moreno Rodríguez A.,"Institución Constitucional de prestigio y credibilidad con capacidad asesora al Estado por medio de acciones jurídico-judiciales, eficaces y eficientes, con carácter vinculante, a través de profesionales especializados y con sentido de pertenencia.","Representar y defender judicial o extrajudicialmente los intereses patrimoniales del Estado Paraguayo, conforme a las normas constitucionales y leyes vigentes, con profesionalismo y transparencia.",http://www.pgr.gov.py/wp-content/uploads/2013/10/ASIGNACIONES-SALARIALES-20131.pdf,1.1,13527
178998,179000,vice-presidencia-de-la-republica-del-paraguay,178999,Vice Presidencia de la República del Paraguay,Vice Presidencia de la República del Paraguay,Vice Presidencia de la República del Paraguay,http://www.vicepresidencia.gov.py/,SIN DATOS,Juan E. O'leary 222 esq. Pdte. Franco,SIN DATOS,+595 21 457-140 / 1,,Asunción - Paraguay,,Juan Eudes Afara Maciel,"La población ve garantizadas las condiciones de respeto, armonia, gobernabilidad e institucionalidad en el máximo poder del pais y percibe una dinamica gestión orientada a la consecución de los objetivos superiores de la Nación.

	Organizaciones de la sociedad civil encuentran en la Vicepresidencia de la República un escenario de expresión de inquietudes y propuestas, donde ESTADO y SOCIEDAD establezcan compromisos de transparencia y participación, tan necesarias para el desarrollo de una soiedad civil más activa.","Mision consitucional:
	- Sustituir de inmediato al Presidente de la República, en los casos previstos en la Constitución Nacional.
	- Por designación del Presidente de la República, representarlo con sus mismas prerrogativas, en los ambitos Nacional e Internacional.
	- Participar de las deliberaciones del Consejo de Ministros.
	- Coordinar las relaciones entre el Poder Ejecutivo y el Legislativo.

	Mision institucional

	Volver trascendente e importante el accionar de la Vicepresidencia a traves de un sistema de Gestión PREVISIBLE, ESTRATEGICO, OPORTUNO, EFICIENTE Y TRANSPARENTE en el acompañamiento de los Programas y Proyectos derivados de Políticas de Estado y en la Generación de iniciativas que respondan con equidad las inquietudes, necesidades y expectativas del pueblo.",http://www.vicepresidencia.gov.py/?page_id=1401,1,13527
179302,179304,escribania-mayor-de-gobierno-emg-,198962,Escribanía Mayor de Gobierno,Escribanía Mayor de Gobierno,Escribanía Mayor de Gobierno,http://www.emg.gov.py/,SIN DATOS,Avda. Colón 1163 e/ Jejuí e Ygatimi,emg.gov@gmail.com,+59521 423 117 Fax  +59521 423 116,,Asunción - Paraguay,,Martha Beatriz Narvaja Ramirez,SIN DATOS,SIN DATOS,SIN DATOS,1.2,13527
46199,46201,comision-nacional-de-valores-cnv-,264741,Comisión Nacional de Valores (CNV),Comisión Nacional de Valores,Comisión Nacional de Valores (CNV),http://www.cnv.gov.py,"La Comisión Nacional de Valores es una entidad de derecho público, autárquica y autónoma en el ejercicio de sus atribuciones y funciones, con jurisdicción en toda la República. Sus actividades principales pueden resumirse en los siguientes ejes:

	Eje 1: Reglamentar el Mercado de Valores Nacional.

	Eje 2: Llevar el registro y control de agentes participantes y títulos valores emitidos por éstos.

	Eje 3: Realizar inspecciones y fiscalizaciones in situ a los diferentes agentes.

	Eje 4: Promocionar el Mercado de Valores Nacional.","Lugano (1ra. Proyectada) N° 627 casi 15 de Agosto, 2° Piso",cnv@cnv.gov.py,+59521444242,,Asunción - Paraguay,,Fernando Anibal Escobar Espínola,"La CNV es una entidad técnica de derecho público, autárquica y autónoma en el ejercicio de sus atribuciones y funciones. Esta institución ejerce eficazmente la supervisión y regulación de las entidades y actividades relativas al Mercado de Valores y asegura la correcta formación de los precios en el mercado de valores. Es considerada como autoridad técnica competente y digna de confianza.","La CNV tiene la Misión de asegurar a los inversionistas y al público en general, el funcionamiento competitivo, confiable y transparente del Mercado de Valores. Asimismo, velar por la veracidad y relevancia de las informaciones necesarias para la correcta formación de los precios y la protección de los intereses de las partes. Así también, la CNV busca establecer normas generales de conducta aplicables a las personas fiscalizadas y a las que prestan servicios en la Comisión Nacional de Valores.",http://www.cnv.gov.py/institucional/directores.php,1.4,13527
13744,13746,ministerio-de-salud-publica-y-bienestar-social,890926,http://www.mspbs.gov.py,Ministerio de Salud Pública y Bienestar Social,Ministerio de Salud Pública y Bienestar Social,http://www.mspbs.gov.py,"En 1936, bajo el gobierno del coronel Rafael Franco, se creó el Ministerio de Salud Pública, mediante la promulgación del Decreto Ley Nº 2.000/36 del 15 de junio de 1936; mientras que por Decreto Ley N° 2.001/36 quedaron establecidas la organización y las funciones de la nueva Secretaría de Estado. Con anterioridad a 1936, todos los servicios de salud eran proveídos y administrados por el Ministerio del Interior, pero las secuelas sanitarias que produjo la Guerra del Chaco (1932-1935) en la población paraguaya hicieron que el Gobierno creyera conveniente la creación de un Ministerio de Salud Pública.
	
	En ese entonces, uno de los objetivos principales de la cartera de Estado era brindar asistencia médica a los heridos y mutilados de la contienda chaqueña, y controlar efectivamente el tratamiento y la transmisión de enfermedades como el paludismo, la disentería y la tifoidea, que migraron hacia la Región Occidental una vez concluida la Guerra del Chaco, con el retorno de los combatientes a sus hogares.
	
	No fue hasta 1998, que ese Decreto Ley Nº 2.001/36 fue derogado con la promulgación del Decreto Nº 21.376/98, por el cual se estableció la nueva organización funcional del Ministerio de Salud Pública y Bienestar Social. Este documento oficial fue firmado por el entonces Presidente de la República, Juan Carlos Wasmosy y propiciado por el Ministro Andrés Vidovich Morales, en consonancia, según reza en su artículo primero, con los preceptos pertinentes de la Constitución Nacional y el desarrollo del Sistema Nacional de Salud. 
	En esta normativa, ahora vigente, se puso especial énfasis en la función rectora de la salud humana y ambiental, y de bienestar social, que debía cumplir el Ministerio de Salud Pública, que a partir de ese momento inició una etapa de reformas y modernizaciones, principalmente legislativas.",Pettirossi Esq. Brasil,sau@mspbs.gov.py  (SAU: Servicio de Atención al Usuario),(595) 21 - 204-601/3,,Asunción - Paraguay,,Dr. Antonio Barrios,"Un Ministerio de Salud Pública y Bienestar Social eficiente, que ejerce su Misión en el Sistema Nacional de Salud, garantizando la asistencia sanitaria integral y equitativa, interviniendo intersectorialmente para incidir favorablemente sobre los factores determinantes de la salud, promoviendo la activa participación ciudadana.","El Ministerio de Salud Pública y Bienestar Social es la entidad rectora y prestadora de servicios de salud, que promueve y ejecuta acciones que garanticen con equidad la calidad de vida, el bienestar físico, mental y social de las personas, como derecho fundamental y universal establecidos en la Constitución Nacional.",http://www.mspbs.gov.py/transparencia/funcionarios-de-salud/,1.7,13527
221304,221306,ministerio-de-trabajo-empleo-y-seguridad-social-mtess-,891140,,Ministerio de Trabajo Empleo y Seguridad Social (MTESS),Ministerio de Trabajo Empleo y Seguridad Social (MTESS),http://www.mtess.gov.py,"El Ministerio de Trabajo, Empleo y Seguridad Social, en adelante el Ministerio, es un órgano del Poder Ejecutivo, de orden público, al que corresponde la tutela de los derechos de los trabajadores y las trabajadoras, en materia de trabajo, empleo y seguridad social, como policía laboral en su carácter de Autoridad Administrativa del Trabajo.",Luis Alberto de Herrera esquina Paraguarí,info@mtess.gov.py,021 448183 – 021 493202,,Asunción - Paraguay,,Dr. Guillermo Sosa,"Velar por la protección de los trabajadores y las trabajadoras en sus distintas dimensiones, garantizando el respeto de sus derechos, especialmente de quienes se encuentren en condiciones de vulnerabilidad.

	Cumplir y hacer cumplir la legislación nacional, los contratos colectivos, los tratados, convenios y acuerdos internacionales aprobados y ratificados por nuestro país en materia de trabajo, empleo y seguridad social y vigilar su aplicación y cumplimiento.

	Fomentar relaciones laborales basadas en el diálogo y la cooperación entre los actores y en sus distintos niveles.

	Formular, planear, dirigir, coordinar, ejecutar, supervisar y evaluar las políticas nacionales y sectoriales en las materias socio-laborales, derechos fundamentales en el ámbito laboral incorporando la perspectiva de género, seguridad y salud en el trabajo, difusión de la normativa, información laboral y del mercado de trabajo, diálogo social, en los conflictos y relaciones de trabajo, seguridad social, inspección del trabajo, promoción del empleo, intermediación laboral, formación profesional y capacitación para el trabajo, normalización y certificación de competencias laborales, autoempleo, reconversión laboral y migración laboral.","Ejercer la regulación administrativa y de contralor de lo relacionado con el trabajo, el empleo y la seguridad social.

	Determinar los objetivos y las políticas del área de su competencia y ejecutar los planes, programas y proyectos respectivos.

	Promover reformas de la legislación y elaborar proyectos, leyes y decretos.

	Elaborar, ejecutar y fiscalizar las normas generales y particulares referidas a higiene, salud, seguridad y medicina del trabajo en los lugares o ambientes donde se desarrollan las tareas, en las empresas ubicadas en el territorio nacional, organismos y empresas del Estado y en las empresas binacionales.

	Brindar asesoramiento técnico a los empleadores y trabajadores y a sus respectivas asociaciones que lo soliciten.

	Estudiar y examinar periódicamente la situación de las personas empleadas, desempleadas o subempleadas a la luz de la legislación y la práctica relativa a las condiciones de trabajo, de empleo y de vida profesional, señalar los defectos y abusos en tales condiciones y presentar propuestas sobre los métodos para remediarlos.

	Educar a la población en materia de derechos, deberes y obligaciones laborales, a fin de prevenir conflictos individuales y colectivos del trabajo.

	Entender en todo lo relativo al régimen del contrato de trabajo y de la relación de trabajo.

	Entender en lo relativo al derecho de sindicalización; y en las negociaciones y convenciones colectivas de trabajo sectorial e integral.

	Intervenir en el tratamiento de los conflictos individuales y colectivos extrajudiciales de trabajo, ejerciendo facultades de mediación y conciliación con arreglo a las disposiciones previstas en esta ley.

	Ejercer el poder de policía en el orden laboral y de seguridad social y coordinar las políticas y los planes de fiscalización, en especial lo relativo al control de empleos no registrados.

	Elaborar, aplicar y fiscalizar el régimen de trabajo de mujeres, menores de edad, personas con discapacidad y otros grupos en condiciones de vulnerabilidad.

	Generar políticas y programas de prevención y combate al trabajo forzoso o servidumbre por deuda, así como de la explotación infantil en el ámbito laboral.

	Promover la igualdad de oportunidades y de trato entre varones y mujeres en el acceso al empleo y en el trabajo, así como la protección de la maternidad.

	Intervenir en la elaboración y ejecución de las normas que orientan la política salarial del sector privado.

	Intervenir en la coordinación y armonización de los planes de empleo con los planes económicos y sociales.

	Participar en la preparación, administración, coordinación, control y revisión de la política nacional de empleo.

	Intervenir en la vinculación entre el empleo, la formación y capacitación laboral, la producción y la tecnología.

	Intervenir en la elaboración de las políticas de migraciones laborales internas y externas.

	Entender en la elaboración de estadísticas, estudios y encuestas que proporcionen un mejor conocimiento de la problemática del trabajo, el empleo y el desempleo, la formación y capacitación laboral, la prevención de riesgos laborales, los ingresos y la seguridad social.

	Participar en los asuntos referidos a la actividad de los organismos internacionales en las materias que corresponden a las áreas de su competencia.

	Propiciar la elaboración, de programas y regímenes integrados de seguridad social del sector público y del sector privado.

	Intervenir en la supervisión de los organismos y entidades correspondientes, en coordinación con los otros Ministerios del Poder Ejecutivo.

	Profesionalizar la carrera del fiscalizador mediante su capacitación continua en la materia",,1.2,13527
