ticket_id,pregunta,respuesta,fecha,categoria
23,"Buenos días 
Estoy haciendo una investigacion para unos amigos extranjeros que desean traer su inversion a paraguay y me pidio lo siguiente:  (me podrian ayudar con lo que me pide o guiar de donde puedo conseguir esos datos)

Primero, le deseo una feliz navidad y espero un exitoso año 2014 a usted. 
Lo siento mucho molestarse durante sus vacaciones. Le escribo este correo eléctronico para pedirle un favor. Es que necesitamos alguna información para escribir un informe sobre el mercado paraguaiano, ¿podría usted nos busca algunos materiales sobre los siguientes puntos de su país?: 
I. Condición general de su país (información breve):
1. el ambiente político: la estabilidad política, las guerras y los disturbios civiles, el terrorismo, las relaciones bilaterales, los cambios en las políticas;
2. el entorno económico: las condiciones económicas, el control de cambio de divisas (con o sin restricciones de cambio), las fluctuaciones del tipo de cambio, la importación y el despacho aduanero (reglamentos de importación, los procedimientos y los costos, el tiempo de ciclo), la situación de inflación;
3. el entorno social: la religión (tabúes religiosos), la seguridad social, las costumbres (estadísticas de las fiestas);
4. el entorno jurídico: la ley civil, impuestos (impuestos sobre las diferencias, los aranceles, impuestos sobre la renta, etc.), la red de recursos legales, la legislación laboral (huelgas, protección laboral y los salarios de mano de obra);
5. enfermedades y epidemias.
II. Situación sobre el mercado de energía eléctrica (lo más importante):
1. Estructura del dicho mercado
2. La capacidad del dicho mercado y la planificación del próximo año (2014).
","Buenos Días José María,

Estaremos verificando los sitios y las fuentes oficiales que puedan brindarle toda la información que está necesitando para luego remitirlas a su correo.

Saludos Cordiales
Ticket marcado por el sistema como vencido.
Buenos días José María,


Muchas gracias por comunicarse con nosotros, estuvimos relevando datos sobre su consulta y pudimos obtener los datos en base a los sitios del Gobierno Paraguayo, los  cuales se detallan a continuación:


I. Condición general de su país (información breve):
1. el ambiente político: la estabilidad política, las guerras y los disturbios civiles, el terrorismo, las relaciones bilaterales, los cambios en las políticas; 

http://www.cultura.gov.py/2012/06/proceso-historico-de-la-economia-paraguaya/


2. el entorno económico: las condiciones económicas, el control de cambio de divisas (con o sin restricciones de cambio), las fluctuaciones del tipo de cambio, la importación y el despacho aduanero (reglamentos de importación, los procedimientos y los costos, el tiempo de ciclo), la situación de inflación;

http://www.economia.gov.py/v2/

http://www.economia.gov.py/v2/sistema/files/files/ICE%20-%203er%20Trimestre%202013-20131104-155337.pdf


3. el entorno social: la religión (tabúes religiosos), la seguridad social, las costumbres (estadísticas de las fiestas);  

http://www.cultura.gov.py/lang/es-es/2011/12/contribuciones-al-estudio-de-la-sociedad-paraguaya/

http://www.cultura.gov.py/wp-content/uploads/2012/12/Patrimonio-Inmaterial_-Duarte.pdf

 
4. el entorno jurídico: la ley civil, impuestos (impuestos sobre las diferencias, los aranceles, impuestos sobre la renta, etc.), la red de recursos legales, la legislación laboral (huelgas, protección laboral y los salarios de mano de obra);   

El tema de impuesto pasa por el Ministerio de Hacienda, Sub Secretaria de Tributación,

http://www.set.gov.py/

E tema aduanero Dirección Nacional de Aduanas

http://www.aduana.gov.py/65-codigo-aduanero-y-sus-reglamentaciones.html

Tema laboral con el Vice Ministerio de Trabajo y Seguridad Social.

http://www.mjt.gov.py/internacontent.php?sec=inscripcionespatronales&amp;group=mtrioysegsocial

http://www.mjt.gov.py/internacontent.php?sec=formacionycapacitacion&amp;group=mtrioysegsocial

http://www.mjt.gov.py/internacontent.php?sec=insercionlaboral&amp;group=mtrioysegsocial

http://www.mjt.gov.py/internacontent.php?sec=trabempleoysegsocial&amp;group=mtrioysegsocial

http://www.mjt.gov.py/internacontent.php?sec=incsocialyderecho&amp;group=mtrioysegsocial


5. Enfermedades y epidemias. 

El tema de enfermedades con el Ministerio de Salud Publica y Bienestar Social

http://www.bvs.org.py/

http://vigisalud.mspbs.gov.py/images/documentos/boletines/2013.12.30%20boletin%20epidemiologico.pdf

http://vigisalud.mspbs.gov.py/images/documentos/alertas/2013.11.11%20Alerta%20Dengue.pdf

 
II. Situación sobre el mercado de energía eléctrica (lo más importante):
1. Estructura del dicho mercado   

2. La capacidad del dicho mercado y la planificación del próximo año (2014).    

En ambos puntos podrías consultar en:

La ITAIPU Binacional

http://www.itaipu.gov.py/es

La Entidad Binacional Yacryreta

http://www.eby.gov.py/

http://www.yacyreta.org.ar/

A parte de las Entidades Binacionales, está el Vice Ministerio de Energía, dependiente del Ministerio de Obras Públicas.

http://www.ssme.gov.py/

Además le adjuntamos varios materiales sobre el Paraguay para poder enriquecer la información solicitada.

En espera de que estos datos le hayan sido de ayuda a su consulta, nos despedimos muy atentamente,
File upload error #1
Fue respondida la consulta del ciudadano


",2014-01-02 07:51:53,"FINANZAS, ECONOMIAS Y NEGOCIOS"
24,me gustaría entrar en contacto con el señor Juan Alberto Lobo y a la vez solicitarles la planilla a llenar para remitir informe referente al INSTITUTO PARAGUAYO DE ARTESANIA.. mcuhas gracias por su tiempo. a través del mail meniconado arriba...,"Buenas Tardes!

El correo del Sr. Juan Alberto Lobo es : jlobo@senatics.gov.py, también puede comunicarse al

número de la oficina es: 201-214, también puede comunicarse o remitir la planilla a Patricia Maldonado al correo: pmaldonado@senatics.gov.py

Saludos Cordiales



Ticket flagged as overdue by the system.
Fue contestada la pregunta del ciudadano
",2014-01-06 12:52:24,CIENCIA Y TECNOLOGIA
25,"Señor Ministro  Dr.Antonio Barrios,soy el Quimico Farmaceutico Gilberto Alfredo Ordoñez Gill,con registro profesional 2.478 ,sobre el cual deseo se me rectifique o justifique la razón por la cual en el registro renovado el dia 08-01-2014 en el área de profesión solo aparece el termino FARMACEUTICO, cuando mi titulo universitario,otorgado en el año 1.992 por la Universidad Catolica de Ciudad del Este,accedo a la profesión de QUIMICO FARMACEUTICO,profesion  que mi registro anterior avalaba y que en la actualidad me ha sido cercenada por el Departamento de Control de profesiones a cargo de la Dra.Marta Gamarra Godoy,lo cual es inscontitucional,desde todo punto de vista.Solicito que se me otorgue de  nuevo mi estatus universitario profesional, ya que me desempeño en ambas áreas laboralmente y además el titulo universitario ,valga la redundancia,es el de QUIMICO FARMACEUTICO y no el de FARMACEUTICO .
Toda profesión universitaria da derecho acceder a un registro que sea acorde a la profesión universitaria obtenida con esfuerzo y  dedicación,por lo cual no es correcto que una dependencia corte este derecho,si asi fuere entonces determine por favor cual es el decreto modificado del CODIGO SANITARIO DE LA NACION para comprender tal accionar.Espero su respuesta en la breveda posible sr.ministro.Atte.Qco.Fco.Gilberto A.Ordoñez G. RP nº 2.478","Buenos Días Sr. Gilberto Ordoñez,

Desde el equipo de Portal Paraguay lo saludamos y a la vez informamos que realizamos la consulta correspondiente a la Dirección de Registro y Control de Profesionales de la Salud.

Fuimos atendidos muy amablemente por la Sra. Zulema Pedrozo, quien nos comentó que actualmente cuentan con un nuevo sistema informático el cual toma los datos de un Libro de Registro de Profesionales para luego imprimir los carnet de registros.

En dicho Libro de Registro se encuentra titulado ""FARMACEUTICO"" la sección correspondiente a la lista de todos los profesionales relacionados al área y este título es lo que el nuevo sistema toma para la impresión de la portada de su registro, pero en la parte de atrás sí debería figurar el nombre de su profesión de acuerdo al título obtenido. En su caso ""QUIMICO FARMACEÚTICO"".

Pasa lo mismo con los profesionales en Psicología, que están en la sección ""PSICOLOGÍA"" del Libro de Registros(por ello figura PSICOLOGO/A en la portada del registro de los mismos) pero detrás del registro sí figura la Licenciatura en Psicopedagogía, etc.

En todo caso, lo ideal sería que usted presente por nota esta modificación a la Dirección de Registro y Control de Profesionales de la Salud, de modo que se realicen los ajustes al nuevo sistema informático que ellos están utilizando.

Más Datos de contacto: http://controldeprofesiones.gov.py/

Esperamos haber respondido su solicitud, desde ya gracias por su consulta y que tenga un buen resto de jornada.

Ticket marcado por el sistema como vencido.
La pregunta fue respondida en tiempo y forma
",2014-01-10 07:51:42,SALUD
26,"TENDRIAN LA AMABILIDAD DE ENVIARME LA RESOLUCION  MINISTERIAL SOBRE PROFESIONES DEL MERCOSUR Nº280/2013.ES PARA VERIFICAR EL REGLAMENTO QUE AFECTA A LAS PROFESIONES DE SALUD.
QUEDO EN ESPERA ,DESDE YA MUCHAS GRACIAS","Ticket marcado por el sistema como vencido.
Buenas Tardes Sr. Gilberto,

Consultamos a la Dirección de Registro y Control de Profesionales de la Salud y desconocen específicamente sobre el número de resolución Nro 280/2013. En todo caso entendemos que el sistema SIREPRO (de registros de profesionales de la salud) fue lanzado el año pasado y cumple con el reglamento del Mercosur  GMC Nº 27/04.

Para más información le dejamos los siguientes enlaces:

http://observatorioparaguayorhus.ning.com/notes/Se_presenta_%E2%80%9CEl_Sistema_Inform%C3%A1tico_de_Registro_de_Profesionales_en_Salud_%28SIREPRO%29__%22

http://www.infoleg.gov.ar/infolegInternet/anexos/125000-129999/125552/norma.htm

Esperamos haber ayudado a resolver su consulta.

Saludos Cordiales

",2014-01-10 08:53:05,SALUD
27,"Estimados Señores,
Tenemos intención de investir en una planta de corte e laminación de aceros carbono e inoxidables e nos gustaría saber algún contacto de su Gobierno em San Pablo Brasil ou la dirección em Paraguay para arreglarmos una sita afin de entendermos como el Gobierno del Paraguay hace los tramites , quias os incentivos etc .
Mui atentamente ,
Marco","Bom dia,

Muito obrigado por sua pergunta para obter mais informações sobre investimentos entre em contato com a Sra. Ana Chuang, diretor de Atração de Investimentos e Ambiente de Negócios REDIEX email: achuang@rediex.gov.py.

REDIEX é uma instituição vinculada ao Ministério da Indústria e Comércio, criado para criar e promover a promoção das exportações, investimentos e negócios no país.

Em anexo é um documento com mais informações.

Atenciosamente
File upload error #1
",2014-01-12 09:29:52,"FINANZAS, ECONOMIAS Y NEGOCIOS"
28,"Dear Minister,

please send me a mail with the information package about the Paraguay and capital city (guide, brochures, maps, souvenirs) on Russian and English.
Thanks in advance.

Sincerely,
Adylzhan Shamshiev,

Kerben, Kyrgyzstan. 720600
Beyshenalieva, 36","Dear Adylzhan Shamshiev,

Thank you for your inquiry, attached to this email a document on general information about the country.

Any questions please contact us.

Best Regards
",2014-01-12 09:54:01,CULTURA
29,"escribo desde singapore .... aqui les dejo el avance de lo que sera el DVD de clinica de bateria sudamerica bajo mi direccion y la del maestro oswal gonzalez grabada,  masterizada en Singapore pais donde recidimos actualmente, espero sea de interes cultural ya que es una produccion independiente con el objetivo de llevar nuestra cultura hasta a todos los rincones del mundo . Y tambien con el proposito si existe la posibilidad de que nuestro querido pais nos apoye en este material educativo muy importante que sera editado en mas de 9 idiomas como el: chino, japones, mielmat, frances, tailandes, maley, español, ingles, tailandes, tagalo (filipinas), bahasa indonesia, guarani. http://www.youtube.com/watch?v=Ya6ZHQqNUQc
japones version
http://www.youtube.com/watch?v=958J48lkUsQ
chinese version
http://www.youtube.com/watch?v=JE8oWwckG4Y

   Atentamente  

    David Solis 
(Productor- Director- Baterista y Percusionista Profesional Paraguayo)
","Buenos Días David,

Desde el equipo de Portal Paraguay agradecemos que hayas compartido con nosotros el trabajo que están realizando, felicitaciones por la iniciativa.

Próximamente estaremos trabajando sobre un espacio altamente propicio para difundir este tipo de materiales.

Éxitos y adelante!
",2014-01-13 18:48:52,CULTURA
30,"Buen dia, necesito me provean de  informacion sobre becas disponibles en el area de Quimica, en los paises de Australia, Canada, EEUU, Francia, Reino Unido, para mi hija que esta muy interesada de cursar sus estudios en el extranjero. Sarah Belen Guerreno Cespedes, con 17 anos, es  Bachiller Tecnico en Quimica Industrial, Primer toefl 70 puntos, Nivel de frances actual: pre intermedio, Olimpica Nacional de Quimica 2013 y 2014  y representante de Paraguay en las Olimpiadas Iberoamericanas de Quimica por 2 anos consecutivos, 2013 en Bolivia  y 2014 a realizarse en Uruguay. 
Excelente alumna con promedio 5 desde el nivel inicial hasta hoy y excelentes referencias curriculares y extra curriculares. 
Compone musica y ejecuta el arpa paraguaya y el piano iniciando, ganadora del primer premio nacional de composicion a los 9 anos y finalista del 1er. Concurso Internacional de Composicion en Arpa Paraguay. Practica Basquet y natacion como distraccion.
Como veran posee mucho potencial y de mas esta decir que me siento orgullosa de ella. Aguardamos noticias.Mil gracias.
","Buenos dias Sra. Gladys, nos complace que contacte con nosotros, para mayor información sobre becas internacionales ofrecidas a estudiantes paraguayos puede contactar con la Dirección General de Becas dependiente del MEC. los datos son los siguientes:

Responsable: Rolando Urunaga - Dirección General de Becas.

Lugar: Chile Nº 719 c/ Víctor Haedo – 1º piso del edificio La Consolidada – Departamento de Becas Internacionales.

Informes y Consultas: 021-452.411/12, Celular: 0981-988.342,

Email: dgbecas2014@gmail.com

Horario: 07:00 hs. a 15:00hs de lunes a viernes.

Web: www.mec.gov.py


O también puede visitar la pagina web de la Secretaria Técnica de Planificación - Becas Disponibles

http://webmail.stp.gov.py/stpnew/becas-disponibles.php

Estas becas aparecen por períodos de tiempo, a inicio, mediado o finales de año, aunque existen pocas becas disponibles para éste periodo, puede consultar si existe alguna beca relacionada a los países citados en su consulta.

En espera que la información le haya sido de utilidad, nos despedimos muy atentamente.


",2014-01-20 10:34:55,EDUCACIÓN
31,"Buenos dias, me puede dar mas datos sobre el curso de Alta Direccion en Adminitraccion Publica...ofrecido por el gobierno de Portugal....gracias.","Buenos días, muchas gracias por comunicarse con nosotros, estuvimos relevando datos sobre su consulta y pudimos obtener la siguiente información:

BECAS - Curso para Funcionarios Públicos 

La Embajada del Paraguay en Portugal informa que se encuentran abiertas las inscripciones para la 7ª edición del Curso de Alta Dirección de Administración Pública,que se realizará en Portugal del 2 de mayo al 25 de Julio de 2014.

El curso es organizado por la Direção-Geral da Qualificação dos Trabalhadores em Funções Públicas- INA y el Instituto Camões.

Para conocer las bases y postularse deberán acceder al siguiente link:

http://www.ina.pt/index.php/internacional/2012-11-28-11-34-16/2012-11-20-12-12-39

Para mayor información puede enviar en email la Embajada de Paraguay en Portugal: embaparlisboa@net.novis.pt o puede visitar la Fanpage de dicha embajada: https://www.facebook.com/embaixadadoparaguai

En espera de que estos datos le hayan sido de ayuda a su consulta, nos despedimos muy atentamente



",2014-01-21 09:19:16,EDUCACIÓN
32,"1. Se podria agregar en que luego del nombre de la institución salga entre parentesis o algo que avise la cantidad de llamados que tiene.
     http://www.paraguay.gov.py/ministerios
     http://www.paraguay.gov.py/secretarias
     http://www.paraguay.gov.py/otros-entes

2. Cuales son los tramites que hoy dia puedo solicitar en linea ?
 Por ejemplo si necesito un Certificado de Antecedentes Policiales puedo solicitar por web?
  
 





","Buenas Tardes Carlos,

Muchas Gracias por contactar con nosotros, a continuación se describen las respuestas a las consultas:

1. Es factible agregar el resumen de los llamados en cada institución, tendremos en cuenta su sugerencia para las siguientes versiones del Portal.

2. Actualmente todos los trámites deben iniciarse en las instituciones pertinentes. Una vez iniciado el trámite sí es posible darle seguimiento online, éstas son las instituciones y trámites que cuentan con este servicio:

SEAM -  Solicitud de Licencia Ambiental
INTN -  Las que Corresponden a Análisis de los Productos


En espera de que estos datos hayan sido de ayuda a su consulta, nos despedimos muy atentamente

",2014-01-21 11:59:19,CIENCIA Y TECNOLOGIA
