"latitud","descripcion","longitud","detalle"
"-25.288052","Asunción - Sitio: Plaza Italia – Asunción","-57.642329","Dirección:  Jejui y 15 de Agosto"
"-25.287769","Asunción - Sitio: Parque Carlos Antonio López – Asunción","-57.650656","Dirección: Avda. Carlos Antonio López"
"-25.345522","San Lorenzo - Sitio: Mercado Municipal de San Lorenzo","-57.510247","Dirección: Gral. Caballero C/ Julia Miranda Cueto"
"-26.530186","Tomas Romero Pereira - Sitio: Tomas Romero Pereira – Plaza Defensores del Chaco","-55.261499","Dirección: Tajy e/ Mcal. Estigarribia "
"-25.276837","Asunción - Sitio: Barrio Loma San Jerónimo – Asunción","-57.646771","Dirección: Piraveve C/ Oliva "
"-25.35613","Lambare - Sitio: Asentamiento San Isidro II - Lambare","-57.603543","Dirección: Avda. San Isidro C/ Santo Domingo "
"-25.336154","San Lorenzo - Sitio: Facultad Politécnica UNA","-57.521851","Dirección: Campus Universitario Avda. Mcal. Estigarribia "
"-25.316906","Asunción - Sitio: Secretaria Nacional de Deportes","-57.579829","Dirección: Avda. Eusebio Ayala "
"-26.017664","Ybicui - Sitio: Paseo de los Ilustres - Ybycui","-57.01863","Dirección: Ruta Gral. Bernardino Caballero, Paseo de los Ilustres "
"-25.270823","Luque - Sitio: Mercado Municipal de Luque","-57.48821","Dirección: Moisés Bertoni e/ Capitán Bado "
"-25.385773","Caacupe - Sitio: Explanada de la Basilica","-57.140851","Dirección: Dr. Eligio Ayala e/ Juan E. Oleary"
"-25.461112","Itacurubi de las Cordilleras - Sitio: Plaza de los Héroes - Itacurubi de las Cordilleras ","-56.852908","Dirección: 15 de Mayo C/ Julia M. Cueto "
"-25.451446","Coronel Oviedo - Sitio: Coronel Oviedo – Plaza Jose Segundo Decoud","-56.448206","Dirección: Ayolas e/ Nanawa "
"-25.376364","Villa Elisa - Sitio: Plaza Von Polesky","-57.581443","Dirección: Avda. Americo Pico, Plaza Von Polesky "
"-25.267009","Asunción - Sitio: Capilla San Juan – Bañando Norte","-57.603143","Dirección: San Estanislao C/ Dublin "
"-27.154992","Coronel Bogado - Sitio: Terminal de Ómnibus de Coronel Bogado","-56.240524","Dirección: Nieves Bogado Nuñes e/ Julia Miranda Cueto "
"-25.381716","Eusebio Ayala - Sitio: Plaza de la Independencia Eusebio Ayala","-56.963983","Dirección: Carlos A. López e/ Independencia Nacional "
"-25.28473","Asunción - Sitio: Plaza uruguaya – Asunción","-57.629935","Dirección: Eligió Ayala e/ México "
"-25.283422","Asunción - Sitio: Plaza de la Democracia – Asunción","-57.634818","Dirección: Independencia Nacional e/ Estrella "
"-25.279859","Asunción - Sitio: Plaza de Armas – Cabildo - Asunción","-57.6347","Dirección: Paraguayo Independiente e/ Rio Manduvira "
"-25.326364","Asunción - Sitio: Terminal de Ómnibus Asunción","-57.596103","Dirección: Avda. Fernando de la Mora E/ Avda. República Argentina "
"-25.276227","Asunción - Sitio: Parque de la salud","-57.577849","Dirección: Cabo Primero Feliciano Marecos "
"-25.280535","Asunción - Sitio: Barrio Ricardo Brugada","-57.625498","Dirección: Florencio Villamayor y Fernando de Mompox "
"-25.451605","Itaugua - Sitio: Convenio Itaipu SENAVITAT SAS SEN - Asentamiento Las Colinas","-57.337289","Dirección: Calle po`i y calle ciudad de Itaugua "
"-25.191012","Mariano Roque Alonso - Sitio: La Aurora - Senavitat","-57.523176","Dirección: Santa Maria y Surubi`i "
"-25.355172","Capiata - Sitio: Plaza Municipalidad de Capiata","-57.440504","Dirección: Sgto. Agustín Ferreira y Ruta 2 "
"-25.29791","Asunción - Sitio:  Mercado 4","-57.622831","Dirección:  Batilana y Rca. De Colombia  "
