id_article;id_servicio;id_institucion;id_version;nombre;url;descripcion;proveedor;tipo_servicio;producto;nombre_alternativo;direccion;email;telefono;canal_disponible;alcance;audiencia;operador;version;structureid
15483;15485;13714;557611;Mensuras Judiciales y Mensuras Administrativas del INDERT;www.mopc.gov.py;"Solicitud de estudio y aprobación de Mensuras Judiciales y Administrativas del INDERT, relativo al informe técnico topográfico obrante en el expediente.";M.O.P.C - Dirección de Obras Públicas;Mensuras judiciales y administrativas;Documento de estudio y aprobación;-;Oliva y Alberdi – Edificio del MOPC - 5º Piso;geodesia@mopc.gov.py;(021) 414 9826 (021) 414 9797;"";Capital;Empresas - Poder Judicial -  Ciudadanía;http://www.tramitesparaguay.gov.py/mensuras-judiciales-y-mensuras-administrativas-del-indert/;2.8;11057
15611;15613;13714;563602;Pago de multas por Contravención al Reglamento General de Tránsito Caminero Ley 22.094/47;www.policiacaminera.gov.py;"Pago de multas por contravención al reglamento general de tránsito caminero, de acuerdo a lo establecido por la Ley 22.094/47.";M.O.P.C - Policía Caminera Departamento de Juzgado de Faltas y Contravenciones;Cobro de Multas de la Policía Caminera;Recibo de pago de Multa;-;Km 14 Ruta 2 / San Lorenzo;informatica@policiacaminera.gov.py;595 (21) 582 689;"";Central;Infractores;http://www.tramitesparaguay.gov.py/pago-de-multas-por-contravencion-al-reglamento-general-de-transito-caminero-ley-22-09447/;1.9;11057
15716;15718;13714;563609;Registro y Emisión de los Certificados de Carga (WEAVERS);www.marinamercante.gov.py;"Registro y emisión de Certificados de carga de mercaderías de exportación e importación, transportadas por buques de pabellón paraguayo y extranjero (Ley 160/93).  Control del cumplimiento de la Ley Nº 295/71 de reserva de cargas en la jurisdicción nacional del río Paraná.";M.O.P.C - Dirección de Marina Mercante;Registro y emisión de certificados de carga;Certificados de carga;-;Oliva Nº 1148 e/ Hernandarias y Don Bosco - Asunción;marina-mercante@mopc.gov.py;595 (21) 493 621;"";Capital;Empresas del rubro marítimo;http://www.tramitesparaguay.gov.py/registracion-y-emision-de-los-certificados-de-carga-weavers/;1.9;11057
15740;15742;13714;563638;Inscripción en el Registro y Habilitación anual de buques y artefactos navales;www.mopc.gov.py;Inscripción en el Registro de Buques y habilitación anual de embarcaciones para el transporte de cargas de importación y exportación – Ley 160/93;M.O.P.C - Dirección de Marina Mercante;Inscripción y habilitación de embarcaciones y artefactos navales;Registro y habilitación de embarcaciones y artefactos navales;-;Oliva Nº 1148 e/ Hernandarias y Don Bosco - Asunción;marina-mercante@mopc.gov.py;595 (21) 493 621;"";Capital;"Empresas del rubro marítimo, agentes, personal naval";http://www.tramitesparaguay.gov.py/inscripcion-en-el-registro-y-habilitacion-anual-de-buques-y-artefactos-navales/;2;11057
15755;15757;13714;563645;Inscripción en el Registro de Personal y habilitación anual de la Patente Profesional;www.marinamercante.gov.py;"Inscripción en el registro de personal y patente profesional anual para agentes marítimos, peritos navales, constructores navales y personal navegante en general – Ley 160/93.";M.O.P.C - Dirección de Marina Mercante;Provisión de Patente Profesional;Patente Profesional;-;Oliva Nº 1148 e/ Hernandarias y Don Bosco - Asunción;marina-mercante@mopc.gov.py;595 (21) 493 621;"";Capital;Empresas del rubro marítimo;http://www.tramitesparaguay.gov.py/inscripcion-en-el-registro-de-personal-y-habilitacion-anual-de-la-patente-profesional/;2;11057
15803;15805;13655;170500;Consulta de Inmuebles;http://www.catastro.gov.py;"En este portal puede realizar consultas individuales sobre datos cuentas de inmuebles Urbanos y Rurales
• Datos físicos de inmuebles,
• Estados de cualquier expediente ingresado
• Certificados catastrales emitidos";Servicio Nacional de Catastro (SNC);Servicios Consultas Catastrales;Consultas on-line;"";"Central: Chile 1053 c/ Manduvirá
Sucursales:
En Encarnación: Subsecretaría de Estado de Tributación (SET), en San José casi Avda. Ruta Internacional, Barrio Buena Vista.
En Ciudad del Este: Avda. Tte. Rojas Silva casi Valois, a la altura del kilómetro 3.";snc@hacienda.gov.py;(+59521) 445842/ 494378/ 496276;"";"Central, Itapúa, Alto Paraná";"Profesionales, ciudadania en general";http://www.catastro.gov.py/;1.9;11057
15822;15824;13655;170324;Guía de requisitos de trámites;http://www.catastro.gov.py;En este portal podra obtener la guia completa de los tramites que tendra que realizar para cada servicio en la entidad.;Servicio Nacional de Catastro (SNC);Servicios Consultas Catastrales;Consultas on-line;"";"Central: Chile 1053 c/ Manduvirá
Sucursales:
En Encarnación: Subsecretaría de Estado de Tributación (SET), en San José casi Avda. Ruta Internacional, Barrio Buena Vista.
En Ciudad del Este: Avda. Tte. Rojas Silva casi Valois, a la altura del kilómetro 3.";snc@hacienda.gov.py;(+59521) 445842/494378/496276;"";"Central, Itapuá, Alto Paraná.";"Profesionales, ciudadania en general";http://www.catastro.gov.py;1.6;11057
15861;15863;13655;170320;Consultas on-line;http://www.catastro.gov.py;"En este portal puede realizar consultas individuales a las tres principales bases de datos que posee la institución:
• Datos físicos de inmuebles,
• Estados de cualquier expediente ingresado
• Certificados catastrales emitidos";Servicio Nacional de Catastro (SNC);Servicios Consultas Catastrales;Consultas on-line;"";"Central: Chile 1053 c/ Manduvirá
Sucursales:
En Encarnación: Subsecretaría de Estado de Tributación (SET), en San José casi Avda. Ruta Internacional, Barrio Buena Vista.
En Ciudad del Este: Avda. Tte. Rojas Silva casi Valois, a la altura del kilómetro 3.";snc@hacienda.gov.py;(+59521) 445842/ 494378/ 496276;"";"Central, Itapuá, Alto Paraná";"Profesionales, ciudadania en general";http://www.catastro.gov.py/;1.7;11057
15882;15884;13655;23594;Sistema de Gestión Tributaria Marangatu;https://marangatu.set.gov.py/eset/;"MARANGATU el Sistema de Información de la Subsecretaria de Estado de Tributación, es un sistema en Web que apoya las tareas de los funcionarios y facilita el cumplimiento de las obligaciones a los contribuyentes a través de los módulos de: Registro de Contribuyentes, Recepción de Declaraciones Juradas y Recepción de Pagos.

En materia de control facilita el seguimiento de las obligaciones de los contribuyentes, entidades recaudadoras y gestión de la administración, a través de los módulos de: Control de cumplimiento y Cuenta corriente del contribuyente, Cobranza Administrativa y Coactiva, Fiscalización Integral y Puntual, Recepción de declaraciones informativas, Administración de Facilidades de Pagos, Administración de Créditos Fiscales, Emisión del certificado de cumplimiento tributario y Consultas y estadísticas para el apoyo y seguimiento a la gestión.

Cuenta con módulos de apoyo que administran la información de documentos, parámetros, usuarios y redes de gestión de procesos y modulo para el timbrado de los documentos.";Subsecretaría de Estado de Tributación;Servicio para la Gestión y Pagos de Tributos;"Registro Único de Contribuyente, Cuenta Corriente del Contribuyente, Timbrado de Documentos, Declaración Jurada, Pagos de Impuesto, Cumplimiento Tributario, etc.";"";Yegros esq. Mcal. López y 15 sucursales en el País.;"sugerencias@set.gov.py ; consulta@set.gov.py; timbrado@set.gov.py";Call Center  (+59521) 4177000;"";"Concepción, San Pedro, Cordillera, Guaira, Caaguazú, Caazapá, Itapúa, Misiones, Paraguarí, Alto Paraná, Central, Ñeembucú, Amambay, Presidente Hayes y Boquerón.";Contribuyentes;"Para el usufructo del servicio, se debe gestionar la Clave de Acceso, mayor información en http://www.set.gov.py";1.8;11057
15938;15940;13655;393355;Consulta de Solicitud de Transferencia de Recursos (STR);http://www.hacienda.gov.py/web-hacienda/index.php?c=555;"A través de esta página usted podrá tener la información de su Solicitud de Transferencia.

De este modo tratamos de agilizar el proceso y control de gestiones.";Ministerio de Hacienda;"Pagos de servicios personales por Red Bancaria, Pago de Servicios personales por cuenta Administrativa, Fondo Rotatorio, Pago de la Deuda, Pago Directo a Proveedores, Pagos de otros Gastos por Cuenta Administrativa, Anticipo de Fondos.";"Consulta on-line a través del Portal del Ministerio de Hacienda, con información sobre Solicitudes de Transferencia de Recursos";"";Sede Central: Chile 252 | 1220 Asunción  - Dirección General del Tesoro Público;SIN DATO;+595-21 440-010 al 17;"";Disponible en la web;"Instituciones públicas, empresas y ciudadanos";http://www.hacienda.gov.py/web-hacienda/index.php?c=555;2;11057
15955;15957;13655;170259;Sistema Nacional de Inversión Pública;http://snip.hacienda.gov.py/Snip_Web/portalSNIP.jsf;"Es la herramienta informática de la Dirección de Sistema de Inversión Pública, que recoge toda la información relacionada a los proyectos de tipo de presupuesto 3 desde su etapa de Preinversión hasta la evaluación ex-post. Contiene datos sobre todos los proyectos, en estudio y ejecución del sector público.";Subsecretaría de Estado de Economía - Ministerio de Hacienda;"Monitoreo, ejecución presupuestaria de los proyectos de inversión pública";Código SNIP por Proyecto de Inversión Pública;"";"Presidente Franco 173 c/ Nuestra Señora de la Asunción, Edificio Ybaga - Piso 7.";snip@hacienda.gov.py;(+59521) 440 897 - 447 049 Fax: 441 474;"";Asunción - Paraguay;Organizaciones y Entidades del Estado.;http://snip.hacienda.gov.py/Snip_Web/portalSNIP.jsf  (Normas y Metodologias);1.9;11057
16062;16064;13655;170252;Consulta de Expedientes SIME;http://www.hacienda.gov.py/web-hacienda/index.php?c=78;"Consulta de los movimientos de los Expedientes presentados al Ministerio de Hacienda.
A través de esta página usted podrá visualizar el recorrido que se encuentra realizando su expediente. De este modo tratamos de agilizar el proceso y control de gestiones.";Ministerio de Hacienda;"Consulta de Expedientes de Jubilaciones,  Pensiones, Adultos Mayores, Pedido de ampliación presupuestaria, Pedido de Audiencias, Estado de Solicitudes presentadas.";"Consulta on-line a través del Portal del Ministerio de Hacienda, con información sobre el flujo del movimiento del Expediente, su situación y ubicación actual.";"";Sede Central: Chile 252;SIN DATO;+595-21 440-010 al 17;"";Disponible en la web;"Instituciones públicas, empresas y ciudadanos";Contactar al tel.: +595-21 440-010 al 17 en la Dirección General de Informática y Comunicaciones – Subsecretaría de Estado de Administración Financiera;2;11057
16145;16147;13537;769262;Cédula de identidad solicitada por primera vez para menores de edad;www.policia.gov.py;Solicitud por primera vez de cédula de identidad para menores de edad.;"Ministerio del Interior,  Departamento de Identificaciones - Ministerio del Interior";Solicitud de cédula de identidad;Cédula de identidad;-;Avda. Dr. Guido Boggiani y R12 Ytororó - Asunción;-;595921 605 618 / 9  Fax 595921 662 580;"";"Global, Central";Ciudadanía;http://www.tramitesparaguay.gov.py/cedula-de-identidad-por-primera-vez-menores-de-edad/I;3;11057
16162;16164;13537;769272;Certificado de Antecedentes Policiales;www.policia.gov.py;Emisión del certificado de antecedentes policiales.;"Policía Nacional del Paraguay
Área: Departamento de Identificaciones";Emisión del certificado de antecedentes policiales;Certificado de antecedentes policiales;-;Avda. Dr. Guido Boggiani y R12 Ytororó - Asunción;Sin Dato;+595 21 605 618 / 9  Fax: 595 21 662 580;"";Global;Ciudadanía;http://www.tramitesparaguay.gov.py/certificado-de-antecedentes-policiales/;2.2;11057
16179;16181;13537;769284;"Pasaporte a mayores de edad; primera vez";www.policianacional.gov.py;Solicitud por primera vez de pasaporte policial para mayores de edad.;"Policía Nacional del Paraguay
Área: Departamento de Identificaciones";Pasaporte;Pasaporte Policial;-;Avda. Dr. Guido Boggiani y R12 Ytororó - Asunción;Sin Dato;+ 595 21 605 618 / 9    Fax: 595921 662 580;"";Global;Ciudadania;http://www.tramitesparaguay.gov.py/pasaporte-policial-a-mayores-de-edad-por-primera-vez/;2.2;11057
16196;16198;13537;769289;Prórroga de radicación temporaria;www.migraciones.gov.py;Solicitud de prórroga de radicación temporaria.;Dirección General del Migraciones;Solicitud de prórroga de radicación temporaria;Sin Datos;-;Eligio Ayala Nº201 y Caballero - Asunción;sgral@migraciones.gov.py;+595 21 446 066 / 21 492 908;"";Central;Solicitante o representante legal;http://www.tramitesparaguay.gov.py/prorroga-de-radicacion-temporaria/;2.9;11057
16601;16603;13636;570428;Legalización de Fotocopia de Cedula de Identidad Civil;http://ww.mre.gov.py/v1/Contenidos/71-legalizaciones.aspx;Consiste en certificar la firma del funcionario autorizado del Ministerio del Interior -  Ventanilla Única de Pasaportes;"Dirección de Legalizaciones
Área: Ventanilla Única de Pasaportes";Legalización de documentos;Copia legalizada de cédula de identidad;-;Avenida Dr. Guido Boggiani y RI Ytororó / Asunción;legalizaciones@mre.gov.py;595 (21) 605 152;"";Central;Ciudadanía;http://www.tramitesparaguay.gov.py/legalizacion-de-fotocopia-de-cedula-de-identidad/;2.6;11057
17658;17660;13636;584205;Legalización de Libreta de Pasaporte Policial;www.mre.gov.py;Consiste en certificar firma del funcionario autorizado del Ministerio del Interior.;Dirección de Legalizaciones Ventanilla Única de Pasaportes;Legalización de documentos;Libreta de Pasaporte  legalizado;-;Avenida Dr. Guido Boggiani y RI Ytororó / Asunción;legalizaciones@mre.gov.py;595 (21) 605 152;"";Capital;Ciudadanía;http://www.tramitesparaguay.gov.py/legalizacion-de-libreta-de-pasaporte-policial/;2;11057
17673;17675;13636;584209;"Informaciones y atención de reclamos relativos a las actuaciones de las representaciones diplomáticas-Sección Consular, y consulados de la República del Paraguay";www.mre.gov.py;"Solicitud de informaciones relacionadas con trámites, servicios, entre otros datos, así como presentación de reclamos inherentes al desempeño y a las actuaciones de las representaciones diplomáticas y consulares del Paraguay.";Dirección de Política Consular;Consultas y Reclamos;Evaluación de satisfacción ciudadana;-;Palma y 14 de Mayo - Palacio Benigno López / Asunción;dgac@mre.gov.py;595 (21) 494 011 Fax: 595 (21) 444 096;"";Capital;Ciudadano/a;http://www.tramitesparaguay.gov.py/informaciones-y-atencion-de-reclamos-relativos-a-las-actuaciones-de-las-representaciones-diplomaticas-seccion-consular-y-consulados-de-la-republica-del-paraguay/;1.8;11057
17688;17690;13636;584220;Copias de Tratados Internacionales y datos relativos al estado de ratificación  y vigencia de los mismos;www.mre.gov.py;Solicitud de acceso a la documentación y/o información relativa a los instrumentos internacionales suscritos por la República del Paraguay;Dirección de Tratados;Información sobre formalización y vigencia de tratados internacionales;"Información, orientación de los tratados subscriptos por el Paraguay a nivel nacional e internacional.";-;Ayolas y Benjamín Constant - Edificio Mercurio / Asunción;tratados@mre.gov.py;595 (21) 447 589;"";Capital;Ciudadanía;http://www.tramitesparaguay.gov.py/copias-de-tratados-internacionales-y-datos-relativos-al-estado-de-ratificacion-y-vigencia-de-los-mismos/;2.1;11057
17703;17705;13636;584224;Recepción de correspondencia dirigida a la Cancillería;www.mre.gov.py;"Recepción de la correspondencia dirigida a la cancillería: recepción, verificación, clasificación y registro, para su entrega.";MRE - Mesa de Entrada Central;Mesa de Entrada;Recepción de documentos oficiales;-;Palma y 14 de Mayo - Palacio Benigno López / Asunción;-;595 (21) 497 656;"";Nacional (sede central) e internacional (a través de sus embajadas y consulados);Ciudadanía nacional e internacional;http://www.tramitesparaguay.gov.py/recepcion-de-correspondencia-dirigida-a-la-cancilleria/;2.8;11057
17824;17826;13675;612961;Legalización de documentos;www.mec.gov.py;"Solicitud de reconocimiento de las firmas de las autoridades que refrendan documentos de todos los niveles del Sistema Educativo Nacional, tales como certificados de estudios, constancias de estudios y de cultos, programas de estudios y resoluciones.";"Secretaría General
Área: Mesa de Entrada  (MEC)";"Legalización, homologación, autenticación, visación";Documentos legalizados;-;Presidente Franco c/ Colón - Edificio Marcopolo;SD;595 (021) 452 800;"";Territorio nacional;Ciudadania;http://www.tramitesparaguay.gov.py/legalizacion-de-documentos/;2.1;11057
17988;17990;13691;590189;Asistencia Técnica;www.mag.gov.py;Solicitud de productores agrícolas de Asistencia Técnica (SAT);"Vice Ministerio de Agricultura, Dirección de Investigación Agrícola";Solicitud de productores agrícolas de Asistencia Técnica;Asistencia técnica a productores agrícolas;-;"Ruta Nacional N° 2 ""Mariscal José Félix Estigarribia"" - San Lorenzo";dia@mag.gov.py;595 (21) 575 561 Fax: 595 (21) 574 928;"";Territorio Nacional;Productores agrícolas;http://www.tramitesparaguay.gov.py/asistencia-tecnica/;1.9;11057
18017;18019;13691;590592;Reconocimiento de Organización de Productores;www.mag.gov.py;Solicitud de reconocimiento de entidad realizada por una organización de productores.;"Vice Ministerio de Agricultura
Área: Dirección de Investigación Agrícola";Solicitud de reconocimiento de entidad realizada por una organización de productores;Reconocimiento;-;"Ruta Nacional N° 2 ""Mariscal José Félix Estigarribia"" Km 11 / San Lorenzo, Paraguay";deag@mag.gov.py;595 (21) 575 561   Fax: 595 (21) 574 928;"";Territorio Nacional;Organización de productores;http://www.tramitesparaguay.gov.py/reconocimiento-de-organizacion-de-productores/;1.9;11057
18035;18037;13691;590633;Habilitación y/o renovación de carnet de apicultor;www.mag.gov.py;Solicitud de habilitación y/o renovación del Carnet habilitante de apicultor;"Vice Ministerio de Ganadería
Dirección de Investigación y Producción Animal";Solicitud de habilitación y/o renovación del Carnet habilitante de apicultor;Habilitación y/o renovación del Carnet;-;"Ruta Mariscal Estigarribia Km 10,5 / San Lorenzo, Campus Universitario - Facultad de Agronomía.";dipa@mag.gov.py;595 (21) 585 260   Fax: 595 (21) 586 136;"";Territorio Nacional;Apicultores;http://www.tramitesparaguay.gov.py/habilitacion-yo-renovacion-de-carnet-de-apicultor/;2;11057
