articleId,resourcePrimKey,idInstitucion,urlTitle,id_,name,url,description,provider,serviceType,produces,alternateName,address,email,telephone,availableChannel,serviceArea,serviceAudience,serviceOperator,requiresDocumentation,price,paymentMethod,diasdeatencion,tiempoestimado,version,structureId
15483,15485,13714,mensuras-judiciales-y-mensuras-administrativas-del-indert-srv-,557611,Mensuras Judiciales y Mensuras Administrativas del INDERT,www.mopc.gov.py,"Solicitud de estudio y aprobación de Mensuras Judiciales y Administrativas del INDERT, relativo al informe técnico topográfico obrante en el expediente.",M.O.P.C - Dirección de Obras Públicas,Mensuras judiciales y administrativas,Documento de estudio y aprobación,-,Oliva y Alberdi – Edificio del MOPC - 5º Piso,geodesia@mopc.gov.py,(021) 414 9826 (021) 414 9797,,Capital,Empresas - Poder Judicial -  Ciudadanía,http://www.tramitesparaguay.gov.py/mensuras-judiciales-y-mensuras-administrativas-del-indert/,"Nombre
			
				Orignal
			
				Fotocopia
				Simple
			
				Fotocopia
				Autenticada
		
		
			
				Título de propiedad
			
				 
			
				 
			
				X
		
		
			
				Circulares de mensura judicial
			
				X
			
				 
			
				 
		
		
			
				Circulares de mensura judicial
			
				 
			
				 
			
				X
		
		
			
				Acta de inicio de mensura judicial
			
				X
			
				 
			
				 
		
		
			
				Acta de inicio de mensura judicial
			
				X
			
				 
			
				 
		
		
			
				Acta de final de mensura judicial con linderos especificados
			
				X
			
				 
			
				 
		
		
			
				Acta de final de mensura judicial
			
				 
			
				 
			
				X
		
		
			
				Informe pericial en duplicado
			
				X
			
				 
			
				 
		
		
			
				Historia de títulos desde su origen fiscal
			
				 
			
				X
			
				 
		
		
			
				Planillas de cálculos de superficie originales en duplicado
			
				X
			
				 
			
				 
		
		
			
				Dos planos georreferenciados en papel poliéster
			
				X",Sin costo,-,Lunes a viernes - 07:00 a 15:00 Hs.,30 días hábiles,2.8,11057
15611,15613,13714,pago-de-multas-por-contravencion-al-reglamento-general-de-transito-caminero-ley-22-094-47-srv-,563602,Pago de multas por Contravención al Reglamento General de Tránsito Caminero Ley 22.094/47,www.policiacaminera.gov.py,"Pago de multas por contravención al reglamento general de tránsito caminero, de acuerdo a lo establecido por la Ley 22.094/47.",M.O.P.C - Policía Caminera Departamento de Juzgado de Faltas y Contravenciones,Cobro de Multas de la Policía Caminera,Recibo de pago de Multa,-,Km 14 Ruta 2 / San Lorenzo,informatica@policiacaminera.gov.py,595 (21) 582 689,,Central,Infractores,http://www.tramitesparaguay.gov.py/pago-de-multas-por-contravencion-al-reglamento-general-de-transito-caminero-ley-22-09447/,"Nombre
			
				Orignal
			
				Fotocopia
				Simple
			
				Fotocopia
				Autenticada
		
		
			
				Boleta de contravención
			
				   X",De 1 A 30 jornales / Dependiendo del tipo de multa,-,Lunes a viernes - 07:00 a 15:00 Hs.,5 minutos,1.9,11057
15716,15718,13714,registro-y-emision-de-los-certificados-de-carga-weavers-srv-,563609,Registro y Emisión de los Certificados de Carga (WEAVERS),www.marinamercante.gov.py,"Registro y emisión de Certificados de carga de mercaderías de exportación e importación, transportadas por buques de pabellón paraguayo y extranjero (Ley 160/93).  Control del cumplimiento de la Ley Nº 295/71 de reserva de cargas en la jurisdicción nacional del río Paraná.",M.O.P.C - Dirección de Marina Mercante,Registro y emisión de certificados de carga,Certificados de carga,-,Oliva Nº 1148 e/ Hernandarias y Don Bosco - Asunción,marina-mercante@mopc.gov.py,595 (21) 493 621,,Capital,Empresas del rubro marítimo,http://www.tramitesparaguay.gov.py/registracion-y-emision-de-los-certificados-de-carga-weavers/,"Nombre
			
				Orignal
			
				Fotocopia
				Simple
			
				Fotocopia
				Autenticada
		
		
			
				Nota de posición de carga
			
				X
			
				 
			
				 
		
		
			
				Formularios 1 y 2 completados
			
				X
			
				 
			
				 
		
		
			
				Factura comercial original o copia autenticada por escribanía, en caso de cargas de exportación
			
				 
			
				 
			
				X
		
		
			
				Conocimiento de embarque (sólo en caso de importación)
			
				 
			
				 
			
				X",1/2 Jornal mínimo,-,Lunes a viernes - 07:00 a 14:30 Hs.,40 minutos,1.9,11057
15740,15742,13714,inscripcion-en-el-registro-y-habilitacion-anual-de-buques-y-artefactos-navales-srv-,563638,Inscripción en el Registro y Habilitación anual de buques y artefactos navales,www.mopc.gov.py,Inscripción en el Registro de Buques y habilitación anual de embarcaciones para el transporte de cargas de importación y exportación – Ley 160/93,M.O.P.C - Dirección de Marina Mercante,Inscripción y habilitación de embarcaciones y artefactos navales,Registro y habilitación de embarcaciones y artefactos navales,-,Oliva Nº 1148 e/ Hernandarias y Don Bosco - Asunción,marina-mercante@mopc.gov.py,595 (21) 493 621,,Capital,"Empresas del rubro marítimo, agentes, personal naval",http://www.tramitesparaguay.gov.py/inscripcion-en-el-registro-y-habilitacion-anual-de-buques-y-artefactos-navales/,"Nombre
			
				Orignal
			
				Fotocopia
				Simple
			
				Fotocopia
				Autenticada
		
		
			
				Nota de solicitud
			
				   X
			
				 
			
				 
		
		
			
				Certificados de:
		
		
			
				Matrícula
			
				 
			
				 
			
				X
		
		
			
				Navegabilidad
			
				 
			
				 
			
				X
		
		
			
				Seguridad de máquinas
			
				 
			
				 
			
				X
		
		
			
				Arqueo
			
				 
			
				 
			
				X
		
		
			
				Casco
			
				 
			
				 
			
				X
		
		
			
				Aparejos
			
				 
			
				 
			
				X
		
		
			
				Franco-bordo
			
				 
			
				 
			
				X
		
		
			
				Construcción y planos de la embarcación
			
				 
			
				 
			
				X
		
		
			
				Radio
			
				 
			
				 
			
				X
		
		
			
				Materiales de armamento para buques de carga
			
				 
			
				 
			
				X
		
		
			
				Prevención de Contaminación por basuras, por aguas sucias y por hidrocarburos.
			
				 
			
				 
			
				X",INSCRIPCION: 1/2 jornal mínimo HABILITACIÓN ANUAL: 1/2 jornal mínimo,-,Lunes a viernes - 07:00 a 14:30 Hs.,5 días,2,11057
15755,15757,13714,inscripcion-en-el-registro-de-personal-y-habilitacion-anual-de-la-patente-profesional-srv-,563645,Inscripción en el Registro de Personal y habilitación anual de la Patente Profesional,www.marinamercante.gov.py,"Inscripción en el registro de personal y patente profesional anual para agentes marítimos, peritos navales, constructores navales y personal navegante en general – Ley 160/93.",M.O.P.C - Dirección de Marina Mercante,Provisión de Patente Profesional,Patente Profesional,-,Oliva Nº 1148 e/ Hernandarias y Don Bosco - Asunción,marina-mercante@mopc.gov.py,595 (21) 493 621,,Capital,Empresas del rubro marítimo,http://www.tramitesparaguay.gov.py/inscripcion-en-el-registro-de-personal-y-habilitacion-anual-de-la-patente-profesional/,"Nombre
			
				Orignal
			
				Fotocopia
				Simple
			
				Fotocopia
				Autenticada
		
		
			
				Ninguna",REGISTRO: 1/2 jornal mínimo / PATENTE ANUAL: 1 jornal mínimo,-,Lunes a viernes - 07:00 a 14:00 Hs.,48 horas aproximadamente,2,11057
15803,15805,13655,inmuebles-urbanos-srv-,170500,Consulta de Inmuebles,http://www.catastro.gov.py,"En este portal puede realizar consultas individuales sobre datos cuentas de inmuebles Urbanos y Rurales
• Datos físicos de inmuebles,
• Estados de cualquier expediente ingresado
• Certificados catastrales emitidos",Servicio Nacional de Catastro (SNC),Servicios Consultas Catastrales,Consultas on-line,,"Central: Chile 1053 c/ Manduvirá
Sucursales:
En Encarnación: Subsecretaría de Estado de Tributación (SET), en San José casi Avda. Ruta Internacional, Barrio Buena Vista.
En Ciudad del Este: Avda. Tte. Rojas Silva casi Valois, a la altura del kilómetro 3.",snc@hacienda.gov.py,(+59521) 445842/ 494378/ 496276,,"Central, Itapúa, Alto Paraná","Profesionales, ciudadania en general",http://www.catastro.gov.py/,,,,,,1.9,11057
15822,15824,13655,guia-de-requisitos-de-tramites-srv-,170324,Guía de requisitos de trámites,http://www.catastro.gov.py,En este portal podra obtener la guia completa de los tramites que tendra que realizar para cada servicio en la entidad.,Servicio Nacional de Catastro (SNC),Servicios Consultas Catastrales,Consultas on-line,,"Central: Chile 1053 c/ Manduvirá
Sucursales:
En Encarnación: Subsecretaría de Estado de Tributación (SET), en San José casi Avda. Ruta Internacional, Barrio Buena Vista.
En Ciudad del Este: Avda. Tte. Rojas Silva casi Valois, a la altura del kilómetro 3.",snc@hacienda.gov.py,(+59521) 445842/494378/496276,,"Central, Itapuá, Alto Paraná.","Profesionales, ciudadania en general",http://www.catastro.gov.py,,,,,,1.6,11057
15861,15863,13655,consultas-on-line-srv-,1165454,Consultas on-line,http://www.catastro.gov.py,"En este portal puede realizar consultas individuales a las tres principales bases de datos que posee la institución:
• Datos físicos de inmuebles,
• Estados de cualquier expediente ingresado
• Certificados catastrales emitidos",Servicio Nacional de Catastro (SNC),Servicios Consultas Catastrales,Consultas on-line,,"Central: Chile 1053 c/ Manduvirá
Sucursales:
En Encarnación: Subsecretaría de Estado de Tributación (SET), en San José casi Avda. Ruta Internacional, Barrio Buena Vista.
En Ciudad del Este: Avda. Tte. Rojas Silva casi Valois, a la altura del kilómetro 3.",snc@hacienda.gov.py,(+59521) 445842/ 494378/ 496276,,"Central, Itapuá, Alto Paraná","Profesionales, ciudadania en general",http://www.catastro.gov.py/,,,,,,1.8,11057
15882,15884,13655,sistema-de-gestion-tributaria-marangatu-srv-,1608752,Sistema de Gestión Tributaria Marangatu,https://marangatu.set.gov.py/eset/,"MARANGATU el Sistema de Información de la Subsecretaria de Estado de Tributación, es un sistema en Web que apoya las tareas de los funcionarios y facilita el cumplimiento de las obligaciones a los contribuyentes a través de los módulos de: Registro de Contribuyentes, Recepción de Declaraciones Juradas y Recepción de Pagos.

En materia de control facilita el seguimiento de las obligaciones de los contribuyentes, entidades recaudadoras y gestión de la administración, a través de los módulos de: Control de cumplimiento y Cuenta corriente del contribuyente, Cobranza Administrativa y Coactiva, Fiscalización Integral y Puntual, Recepción de declaraciones informativas, Administración de Facilidades de Pagos, Administración de Créditos Fiscales, Emisión del certificado de cumplimiento tributario y Consultas y estadísticas para el apoyo y seguimiento a la gestión.

Cuenta con módulos de apoyo que administran la información de documentos, parámetros, usuarios y redes de gestión de procesos y modulo para el timbrado de los documentos.",Subsecretaría de Estado de Tributación,Servicio para la Gestión y Pagos de Tributos,"Registro Único de Contribuyente, Cuenta Corriente del Contribuyente, Timbrado de Documentos, Declaración Jurada, Pagos de Impuesto, Cumplimiento Tributario, etc.",,Yegros esq. Mcal. López y 15 sucursales en el País.,sugerencias@set.gov.py ; consulta@set.gov.py; timbrado@set.gov.py,Call Center  (+59521) 4177000,,"Concepción, San Pedro, Cordillera, Guaira, Caaguazú, Caazapá, Itapúa, Misiones, Paraguarí, Alto Paraná, Central, Ñeembucú, Amambay, Presidente Hayes y Boquerón.",Contribuyentes,"Para el usufructo del servicio, se debe gestionar la Clave de Acceso, mayor información en http://www.set.gov.py",,,,,,2.2,11057
15938,15940,13655,consulta-de-solicitud-de-transferencia-de-recursos-str-srv-,393355,Consulta de Solicitud de Transferencia de Recursos (STR),http://www.hacienda.gov.py/web-hacienda/index.php?c=555,"A través de esta página usted podrá tener la información de su Solicitud de Transferencia.

De este modo tratamos de agilizar el proceso y control de gestiones.",Ministerio de Hacienda,"Pagos de servicios personales por Red Bancaria, Pago de Servicios personales por cuenta Administrativa, Fondo Rotatorio, Pago de la Deuda, Pago Directo a Proveedores, Pagos de otros Gastos por Cuenta Administrativa, Anticipo de Fondos.","Consulta on-line a través del Portal del Ministerio de Hacienda, con información sobre Solicitudes de Transferencia de Recursos",,Sede Central: Chile 252 | 1220 Asunción  - Dirección General del Tesoro Público,SIN DATO,+595-21 440-010 al 17,,Disponible en la web,"Instituciones públicas, empresas y ciudadanos",http://www.hacienda.gov.py/web-hacienda/index.php?c=555,,,,,,2,11057
